Neighborho,TotalPop,White,AfricanAm,AmIndian,Asian,HI_Pacific,Other,Owner_HU,Renter_HU,Males_20s,Females_20,Area,TotalCrimes18
Alameda,5214,4896,174,62,215,13,60,4725,488,143,127,1590610,168
Arbor Lodge,6153,5194,412,168,436,92,244,4295,1850,449,486,2252448,465
Ardenwald-Johnson Creek,4748,4427,133,137,133,28,95,3023,1693,271,287,2998136,65
Argay,6006,3738,890,127,739,131,684,3278,2665,409,391,4921570,579
Arlington Heights,718,673,16,7,45,1,6,679,39,17,19,2329338,73
Arnold Creek,3125,2913,39,41,233,11,32,2866,234,88,78,2904647,25
Ashcreek,5719,5112,253,66,353,26,156,4125,1588,373,343,3062331,98
Beaumont-Wilshire,5346,4927,238,68,258,16,73,4589,740,202,193,1903650,212
Boise,3311,2280,880,100,128,22,113,1481,1809,437,497,1115042,376
Brentwood-Darlington,12994,9974,691,392,1596,89,1045,8397,4449,982,972,4519236,767
Bridgeton,725,630,59,12,35,7,8,467,258,38,42,483417,115
Bridlemile,5481,5114,104,81,294,32,46,4054,1395,243,242,3647749,88
Brooklyn,3485,3193,125,98,155,12,81,1382,2097,415,465,2832026,412
Buckman,8472,7788,298,233,363,27,159,1680,6331,1350,1616,2819569,1936
Cathedral Park,3349,2929,227,98,106,39,120,2007,1342,256,254,2167822,335
Centennial,23662,17795,1667,637,2381,232,2305,13987,9342,1699,1717,7941349,2087
Collins View,3036,2762,72,39,246,10,54,1365,503,402,532,1881308,70
Concordia,9550,7323,1784,234,417,71,294,6282,2766,769,915,3451431,470
Creston-Kenilworth,8227,6710,561,213,838,55,282,3132,5002,931,959,2077471,652
Crestwood,1047,969,23,10,59,6,21,816,231,69,43,895440,21
Cully,13209,8267,2437,499,939,112,1784,6974,6038,943,995,7974457,1003
Downtown,12801,10442,704,344,1529,90,293,1687,8097,2427,1972,2164858,3989
East Columbia,1748,1079,292,29,246,30,166,1307,434,124,101,5501184,494
Eastmoreland,5007,4700,77,49,313,9,46,3775,334,395,381,2854178,142
Eliot,3611,2639,818,109,136,17,111,1252,2251,476,479,2102323,1183
Far Southwest,1320,1204,31,32,88,7,14,1027,293,78,71,1580819,77
